<q> <I> <dI> <dQ>
0.00235 1.6441166897356811 1.002882247579704 0.000392
0.00244 0.28382698140818446 1.3597622039864135 0.000389
0.00254 -0.6908258218227987 0.6229927134713228 0.000403
0.00264 -0.5341537293898769 0.4016653772939809 0.000408
0.00274 0.6130740080675894 0.750702887322996 0.000425
0.00285 1.0424077784746013 0.3223970778114947 0.00043
0.00297 -0.7919136347853616 0.1961553102142395 0.000431
0.00309 -0.5868933204668609 0.16602803090430163 0.000442
0.00321 0.5788169894638115 0.18158175965176757 0.00045
0.00334 0.38054827464836594 0.16720398669597072 0.000461
0.00347 -0.13162429488780186 0.12963414489085384 0.000463
0.00361 0.2770282998131926 0.26511624820265695 0.000485
0.00376 0.2363580699584256 0.05748603022562839 0.000498
0.00391 0.19314852321499357 0.07318762174419383 0.000508
0.00406 0.10757734567482571 0.07819648779364193 0.000524
0.00423 0.48574061623320974 0.07572032453816185 0.000537
0.00439 0.14955324971068312 0.04384876928984185 0.000543
0.00457 0.3532610651326967 0.04966106202933802 0.000573
0.00475 0.2611130208978665 0.04144402586860898 0.000578
0.00494 0.34399758922604384 0.058703018308515154 0.000594
0.00514 0.2921831407510267 0.04557472241184547 0.000621
0.00535 0.31313574814856326 0.0429587415708869 0.000636
0.00556 0.17589982133553816 0.04505221608750119 0.000667
0.00578 0.31654746315816173 0.03480519880738579 0.00068
0.00601 0.13748160987759267 0.022423483844994308 0.000694
0.00625 0.22706154635565207 0.013493656432192825 0.000707
0.0065 0.15646797515441002 0.01799604743135877 0.000721
0.00676 0.21304111023287384 0.02263900919809045 0.000743
0.00703 0.16966147471264895 0.0229231321837587 0.000773
0.00732 0.16109705629688403 0.02566711312625263 0.00079
0.007609999999999999 0.16660556181249445 0.023495625551331167 0.000809
0.00791 0.15481894949945255 0.01776159520556679 0.000837
0.008229999999999998 0.181787897750638 0.01846251351793596 0.000864
0.00856 0.2108676720367188 0.0155322633925733 0.000859
0.0089 0.18203730396926232 0.01316112182538886 0.000897
0.00926 0.14377092689555862 0.013557944256225219 0.000913
0.00963 0.15541038744896984 0.01477571426793964 0.000936
0.01001 0.13619687508714576 0.012271541492263553 0.000931
0.01041 0.16431496133339368 0.009704406124982861 0.000961
0.01083 0.1372333580358066 0.010781176558290716 0.000985
0.01126 0.13850171066014075 0.009375668379281426 0.001
0.01171 0.1227766895473273 0.008922122940234017 0.00102
0.01218 0.1214077910977794 0.008700396852823485 0.00105
0.01267 0.11604133156432024 0.00809411625536288 0.00106
0.01318 0.10783532875203412 0.008271941797690127 0.00109
0.0137 0.1094231700831372 0.007167079848489582 0.00113
0.01425 0.09354656490989412 0.007062097640539451 0.00112
0.01482 0.10193434694097996 0.006555474169043583 0.00113
0.01541 0.08082492175848309 0.006724115901403292 0.00114
0.01603 0.079304394860875 0.005570151977759267 0.00114
0.01667 0.06751042073041048 0.005951301666004964 0.00115
0.01734 0.07047190704063272 0.004235466691608165 0.00116
0.01803 0.06124774453108445 0.0038120256580234896 0.00117
0.01875 0.04689247978788513 0.003874992796231427 0.00117
0.0195 0.04573251321966629 0.002932846957413056 0.00117
0.02028 0.036228589197748566 0.0023643933528889383 0.00118
0.0211 0.04300438731070695 0.0020422905430360102 0.00117
0.02194 0.03787097825480284 0.0022333354606982356 0.00119
0.02282 0.03254148458809668 0.0030424447942300303 0.0012
0.02373 0.02349066039280652 0.0010212851374865784 0.0012
0.02468 0.02511697748554368 0.0029866180462524727 0.0012
0.02567 0.01659417330364142 0.0008248246986845247 0.00121
0.02669 0.019888618752515623 0.0018952359265241483 0.0012
0.02776 0.01624045937844561 0.0016622352844942432 0.00122
0.02887 0.01617900137938372 0.0019230511913182248 0.00121
0.03003 0.01147752328039992 0.0011762614240635543 0.00123
0.03123 0.011759552530630178 0.0014773167242626653 0.00123
0.03248 0.014496843693777232 0.001978471633516338 0.00124
0.03377 0.011337478005003364 0.002506988574975343 0.00126
0.03513 0.01186596747987644 0.0013082354354505368 0.00127
0.03653 0.012849844872976532 0.0024188408565672154 0.00128
0.03799 0.012609863289640788 0.0018731486117119433 0.0013
0.03951 0.011944736355544968 0.0022453412653308563 0.00132
0.04109 0.010604723121453207 0.0015590060345156806 0.00133
0.04274 0.01068471645332016 0.0015157213996007963 0.00135
0.04445 0.008820617472260914 0.0006247585231800852 0.00137
0.04622 0.00814669141615121 0.0004479704904330469 0.00139
0.04807 0.00945871490750274 0.0005901898325270793 0.00141
0.05 0.009496232056471267 0.000715739812855104 0.00144
0.052 0.010710029206947252 0.0006515698743723257 0.00147
0.05407 0.008784540998705702 0.0012639310169270499 0.00149
0.05624 0.007392412460548925 0.000527607575856919 0.00152
0.05849 0.0049141641117695445 0.000735128435838617 0.00155
0.06083 0.006629580402068825 0.0008275235042948978 0.00157
0.06326 0.00391934542082745 0.001157480083135701 0.00161
0.06579 0.0069932731454956905 0.0007786744858375001 0.00165
0.06842 0.006254301892660697 0.0007247160303031891 0.00167
0.07116 0.0066684170899287964 0.0011260621811930982 0.00171
